受注日,手配日,納品日,納品先,システム,商品備考,商品名,数量,単位,引取場所,Delivery便,便/備考,時間指定,ヤマト送り状,入力元,ステータス,不定貫実測数量データ,UID
2025-07-14,2025-07-15,2025-07-16,ビストロ青葉,ECサイト,冷蔵,りんご,10,箱,北関東便,自社便,備考A,午前,YM123456789012,Web,未処理,,UID_001
2025-07-15,2025-07-16,2025-07-17,洋食キッチンつばめ,LINE,冷凍,みかん,20,個,中部便,自社便,備考C,16:00,YM345678901234,LINE,未処理,,UID_003
2025-07-15,2025-07-16,2025-07-17,鮨処みなと,ECサイト,常温,ぶどう,3,房,九州便,自社便,備考D,午前,YM456789012345,Web,未処理,,UID_004
2025-07-15,2025-07-16,2025-07-17,中華食堂龍華,LINE,常温,いちご,15,パック,東北便,自社便,備考F,15:00,YM678901234567,LINE,完了,,UID_006
2025-07-16,2025-07-17,2025-07-18,イタリア食堂イルソーレ,ECサイト,冷凍,メロン,2,玉,関東便,自社便,備考G,18:00,YM789012345678,Web,未処理,,UID_007
2025-07-16,2025-07-17,2025-07-18,和食処こまち,LINE,冷蔵,なし,7,個,中国便,自社便,備考I,14:00,YM901234567890,LINE,未処理,,UID_009
2025-07-17,2025-07-18,2025-07-21,ベーカリー麦の庭,ECサイト,常温,もも,4,箱,四国便,自社便,備考J,16:00,YM012345678901,Web,未処理,,UID_010
2025-07-17,2025-07-18,2025-07-21,そば処更科,LINE,常温,キウイ,12,個,九州便,自社便,備考L,15:00,YM223456789012,LINE,完了,,UID_012
2025-07-18,2025-07-21,2025-07-22,グリル山吹,ECサイト,冷蔵,さくらんぼ,9,パック,北陸便,自社便,備考M,18:00,YM334567890123,Web,未処理,,UID_013
2025-07-18,2025-07-21,2025-07-22,居酒屋灯,LINE,冷凍,いちじく,3,箱,中部便,自社便,備考O,14:00,YM556789012345,LINE,未処理,,UID_015
2025-07-21,2025-07-22,2025-07-23,ラーメン晴海,ECサイト,常温,レモン,10,個,中国便,自社便,備考P,16:00,YM667890123456,Web,未処理,,UID_016
2025-07-22,2025-07-23,2025-07-24,カレー食堂スパイス堂,LINE,常温,にんにく,2,kg,東北便,自社便,備考R,15:00,YM889012345678,LINE,完了,,UID_018
2025-07-22,2025-07-23,2025-07-24,トラットリア緑丘,ECサイト,冷凍,ブルーベリー,1,箱,東北便,自社便,備考S,18:00,YM990123456789,Web,未処理,,UID_019
